Primary Key,ASIN,Individual Rating,Review Title,Review Date,Review_Date,Verified Purchase,Helpful Votes,Cleaned Review Text,Sentiment,Standardized Category,Standardized Aspect,Standardized Pain Point
11,B0DP7BZ8FD,3.0,Battery backup not good,Reviewed in India on 4 April 2025,2025-04-04,True,2,product battery backup on 2 hour,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
12,B0DP7BZ8FD,5.0,Lenevo Slim3,Reviewed in India on 21 May 2025,2025-05-21,True,0,"performance,build quality is good as expected. light weight , value for money. only drawback is heat exhaust is on bottom side.",Positive,Thermal Design - Inefficient Exhaust Placement,Thermal Design,Inefficient Exhaust Placement
13,B0DP7BZ8FD,4.0,I Got an already activated laptop,Reviewed in India on 6 October 2024,2024-10-06,True,12,"i brought this laptop for 38,250 in great indian sales..pros:- good display when compare with competitorsbacklit keyboard, camera shutter, full functioning c type port. price to future ratio is too good design is good and compact.performance was nice.speed is also up to mark.brightness is ok.cons :- display was ips panel but in viewing angles horizontal is ok but vertical is like lcd display you get black and white shades. even it was a new laptop it max-screen on time is 3 hrsthat was to less when we compare with any hp laptops which have 6 hrs. check it size before buying as it was a 14 inches laptop which compact and smaller than any other 14 inches laptop as its display have less bessels. sound quality is good but not loud it will be less compare to any other laptops no lan port, you need to buy extension to use lan port finally as i mention i got already activated device like it was showing your warranty starts at 24-7-2024 but even though i but it on 28-9-2024 this problem can be simple resolve by just going into lenovo support website and just upload you p-slip and bill from amazon they change the warrenty time this was the best thing lenovo care . finally , i was satisfied with this laptop as i got a good, compact, shiny finish laptop within this budget",Positive,Display - Poor Viewing Angles,Display,Poor Viewing Angles
14,B0DP7BZ8FD,4.0,I Got an already activated laptop,Reviewed in India on 6 October 2024,2024-10-06,True,12,"i brought this laptop for 38,250 in great indian sales..pros:- good display when compare with competitorsbacklit keyboard, camera shutter, full functioning c type port. price to future ratio is too good design is good and compact.performance was nice.speed is also up to mark.brightness is ok.cons :- display was ips panel but in viewing angles horizontal is ok but vertical is like lcd display you get black and white shades. even it was a new laptop it max-screen on time is 3 hrsthat was to less when we compare with any hp laptops which have 6 hrs. check it size before buying as it was a 14 inches laptop which compact and smaller than any other 14 inches laptop as its display have less bessels. sound quality is good but not loud it will be less compare to any other laptops no lan port, you need to buy extension to use lan port finally as i mention i got already activated device like it was showing your warranty starts at 24-7-2024 but even though i but it on 28-9-2024 this problem can be simple resolve by just going into lenovo support website and just upload you p-slip and bill from amazon they change the warrenty time this was the best thing lenovo care . finally , i was satisfied with this laptop as i got a good, compact, shiny finish laptop within this budget",Positive,Battery - Poor Battery Backup,Battery,Poor Battery Backup
15,B0DP7BZ8FD,5.0,Good one,Reviewed in India on 31 May 2025,2025-05-31,True,2,love it actually but the graphics is little weak,Positive,Graphics - Poor Performance,Graphics,Poor Performance
16,B0DP7BZ8FD,3.0,Average monitor,Reviewed in India on 9 July 2025,2025-07-09,True,0,sound quality is very low. display quality is good.,Negative,Audio - Poor Sound Quality,Audio,Poor Sound Quality
17,B0DP7BZ8FD,3.0,Price is high,Reviewed in India on 4 May 2025,2025-05-04,True,0,even though it comes with 16gb it shows hanging issue while performing normal tasks,Negative,Performance - Freezing/Hanging,Performance,Freezing/Hanging
18,B0DP7BZ8FD,4.0,Good product,Reviewed in India on 2 March 2025,2025-03-02,True,0,"good product, it would have been good if they would have provided fingerprint and hdmi port",Neutral,Features - Missing Fingerprint Reader,Features,Missing Fingerprint Reader
19,B0DP7BZ8FD,4.0,Good product,Reviewed in India on 2 March 2025,2025-03-02,True,0,"good product, it would have been good if they would have provided fingerprint and hdmi port",Neutral,Connectivity - No HDMI Port,Connectivity,No HDMI Port
20,B0DP7BZ8FD,3.0,Battery not good,Reviewed in India on 24 March 2025,2025-03-24,True,0,bad battery backup,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
21,B0DP7BZ8FD,3.0,Skip this one,Reviewed in India on 16 March 2025,2025-03-16,True,0,"over all good, but display quality is below average.",Neutral,Display - Below Average Quality,Display,Below Average Quality
22,B0DP7BZ8FD,2.0,Battery backup and sound quality very very bad,Reviewed in India on 5 April 2025,2025-04-05,True,1,"im writting this review after using latop 2days....i feel not value for the money, battery backup not even comming 2 hours and laptop quality not as expected.. i used long back levnova thinkpad which was very good.. old thinkpad backup was very good it use to come minimum 6 hours even after using 3 years but brand new latop not even 3 hours...",Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
23,B0DP7BZ8FD,2.0,Battery backup and sound quality very very bad,Reviewed in India on 5 April 2025,2025-04-05,True,1,"im writting this review after using latop 2days....i feel not value for the money, battery backup not even comming 2 hours and laptop quality not as expected.. i used long back levnova thinkpad which was very good.. old thinkpad backup was very good it use to come minimum 6 hours even after using 3 years but brand new latop not even 3 hours...",Negative,Build - Poor Build Quality,Build,Poor Build Quality
24,B0DP7BZ8FD,4.0,Not great but good,Reviewed in India on 19 December 2024,2024-12-19,True,2,for travellers office purposes. not for entertainment purposes .sound levels are poor battery is ok,Positive,Audio - Poor Sound Quality,Audio,Poor Sound Quality
25,B0DP7BZ8FD,2.0,Poor feeble sound and average,Reviewed in India on 19 May 2025,2025-05-19,True,0,it is not a great one for the price. there is no audio at all. feeble sound,Negative,Audio - No Sound Output,Audio,No Sound Output
26,B0DP7BZ8FD,2.0,"Very low sound ,very bad for video calls",Reviewed in India on 15 May 2025,2025-05-15,True,0,how these people gave good review i dont know it has very worst speaker very low sound,Negative,Audio - Poor Sound Quality,Audio,Poor Sound Quality
27,B0DP7BZ8FD,4.0,Good laptop with heating issue,Reviewed in India on 20 October 2024,2024-10-20,True,0,its been 3 weeks using this laptop and it is worth it at the price point .the card offers are also great.however the laptop gets heated very fast rest everythings fine .,Positive,Thermal Management - Overheating,Thermal Management,Overheating
28,B0DP7BZ8FD,4.0,Amazing laptop but speakers are not very loud,Reviewed in India on 28 September 2024,2024-09-28,True,14,after using it for a day -display : pretty goodspeakers - below averagebattery life - averagecamera - goodperformed well in dead pixel and keyboard functionality test.overall amazing laptop for the price .....,Positive,Display - Positive Feedback,Display,Positive Feedback
29,B0DP7BZ8FD,4.0,Amazing laptop but speakers are not very loud,Reviewed in India on 28 September 2024,2024-09-28,True,14,after using it for a day -display : pretty goodspeakers - below averagebattery life - averagecamera - goodperformed well in dead pixel and keyboard functionality test.overall amazing laptop for the price .....,Positive,Audio - Poor Sound Quality,Audio,Poor Sound Quality
30,B0DP7BZ8FD,4.0,Amazing laptop but speakers are not very loud,Reviewed in India on 28 September 2024,2024-09-28,True,14,after using it for a day -display : pretty goodspeakers - below averagebattery life - averagecamera - goodperformed well in dead pixel and keyboard functionality test.overall amazing laptop for the price .....,Positive,Battery - Average Backup Time,Battery,Average Backup Time
31,B0DP7BZ8FD,4.0,Decent for the price.(if bought during sale),Reviewed in India on 9 October 2024,2024-10-09,True,3,pros.1. good specs2. good price.. especially if bought during sale.cons1. plastic build quality..looks like a budget laptop.2.display lacklustre,Neutral,Build - Poor Build Quality,Build,Poor Build Quality
32,B0DP7BZ8FD,4.0,Decent for the price.(if bought during sale),Reviewed in India on 9 October 2024,2024-10-09,True,3,pros.1. good specs2. good price.. especially if bought during sale.cons1. plastic build quality..looks like a budget laptop.2.display lacklustre,Neutral,Display - Lackluster / Dull Output,Display,Lackluster / Dull Output
33,B0DP7BZ8FD,4.0,Nice product,Reviewed in India on 25 October 2024,2024-10-25,True,0,good product with excellent performance battery back up is not good,Positive,Battery - Poor Battery Backup,Battery,Poor Battery Backup
34,B0DP7BZ8FD,1.0,Battery issue within 1.5 years only.,Reviewed in India on 2 May 2025,2025-05-02,True,4,"its been just 1.5 year and i have come cross battery issue. they are giving 2 years warranty but battery warranty is not included how cleaver they are. it means you can assume that you can face battery issue because it doesnt have included in 2 years warranty. now i have to pay rs.6000 extra for new battery. so keep it mind you are not paying what they are showing you would pay way above what the purchase price, it is called cheap business strategy to earn more profit. now cant trust anymore lenovo products. and yes, there service centre services is also very bad. they dont pick you call after submitting the laptop. disappointed.",Negative,Battery - Poor Battery Life,Battery,Poor Battery Life
35,B0DP7BZ8FD,1.0,Battery issue within 1.5 years only.,Reviewed in India on 2 May 2025,2025-05-02,True,4,"its been just 1.5 year and i have come cross battery issue. they are giving 2 years warranty but battery warranty is not included how cleaver they are. it means you can assume that you can face battery issue because it doesnt have included in 2 years warranty. now i have to pay rs.6000 extra for new battery. so keep it mind you are not paying what they are showing you would pay way above what the purchase price, it is called cheap business strategy to earn more profit. now cant trust anymore lenovo products. and yes, there service centre services is also very bad. they dont pick you call after submitting the laptop. disappointed.",Negative,Warranty - Battery Not Covered,Warranty,Battery Not Covered
36,B0DP7BZ8FD,1.0,Battery issue within 1.5 years only.,Reviewed in India on 2 May 2025,2025-05-02,True,4,"its been just 1.5 year and i have come cross battery issue. they are giving 2 years warranty but battery warranty is not included how cleaver they are. it means you can assume that you can face battery issue because it doesnt have included in 2 years warranty. now i have to pay rs.6000 extra for new battery. so keep it mind you are not paying what they are showing you would pay way above what the purchase price, it is called cheap business strategy to earn more profit. now cant trust anymore lenovo products. and yes, there service centre services is also very bad. they dont pick you call after submitting the laptop. disappointed.",Negative,Customer Service - Poor Response,Customer Service,Poor Response
37,B0DP7BZ8FD,4.0,"Overall laptop is good, But their below average sound, which not satisfied.",Reviewed in India on 8 October 2024,2024-10-08,True,0,"overall laptop is good, but their below average sound, which not satisfied.",Neutral,Audio - Poor Sound Quality,Audio,Poor Sound Quality
38,B0DP7BZ8FD,4.0,Battery,Reviewed in India on 13 October 2024,2024-10-13,True,1,everything is fine except battery. battery wont last for long.,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
39,B0DP7BZ8FD,3.0,battery !!!!,Reviewed in India on 29 September 2024,2024-09-29,True,0,battery drains fast runs only for 3.5 hrperformance is good but after 6-7 hrs of continuous use for study starts to lag and does not loadbuy for 32k through credit card and exchange offerotherwise dont buy,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
40,B0DP7BZ8FD,3.0,battery !!!!,Reviewed in India on 29 September 2024,2024-09-29,True,0,battery drains fast runs only for 3.5 hrperformance is good but after 6-7 hrs of continuous use for study starts to lag and does not loadbuy for 32k through credit card and exchange offerotherwise dont buy,Negative,Performance - Lag Over Time,Performance,Lag Over Time
41,B0DP7BZ8FD,1.0,Worst display quality ever used in my life,Reviewed in India on 29 May 2025,2025-05-29,True,0,worst display quality ever used in my life. rest everything is great about this laptop.but if you cant see anything on the screen there is no point of giving so much performance. please stay away from this laptop. its a regretful investment that i made.,Negative,Display - Poor Quality,Display,Poor Quality
42,B0DP7BZ8FD,1.0,VERY BAD SERVICE FROM LENOVO CUSTOMER CARE,Reviewed in India on 20 June 2025,2025-06-20,True,1,"laptop connectivity problemslenovo customer care not hearing the issues and closed the complain ticket without resolvedlenovo service is very bad, specially customer care",Negative,Laptop - Connectivity Issues,Laptop,Connectivity Issues
43,B0DP7BZ8FD,1.0,VERY BAD SERVICE FROM LENOVO CUSTOMER CARE,Reviewed in India on 20 June 2025,2025-06-20,True,1,"laptop connectivity problemslenovo customer care not hearing the issues and closed the complain ticket without resolvedlenovo service is very bad, specially customer care",Negative,Customer Service - Unresponsive,Customer Service,Unresponsive
44,B0DP7BZ8FD,3.0,Viewing angle,Reviewed in India on 19 November 2024,2024-11-19,True,2,very bad screen quality and viewing angle,Negative,Display - Poor Viewing Angles,Display,Poor Viewing Angles
45,B0DP7BZ8FD,4.0,Display,Reviewed in India on 7 August 2024,2024-08-07,True,6,performance and appearance has been good but display is not that great overall it is good in the budget,Positive,Display - Poor Quality,Display,Poor Quality
46,B0DP7BZ8FD,3.0,Ok ok kaptop,Reviewed in India on 28 September 2024,2024-09-28,True,0,didnt like the volume as its quite low and also the screen quality is ok okbattery life is also not good,Negative,Audio - Low Volume,Audio,Low Volume
47,B0DP7BZ8FD,3.0,Ok ok kaptop,Reviewed in India on 28 September 2024,2024-09-28,True,0,didnt like the volume as its quite low and also the screen quality is ok okbattery life is also not good,Negative,Display - Poor Viewing Angles,Display,Poor Viewing Angles
48,B0DP7BZ8FD,3.0,Ok ok kaptop,Reviewed in India on 28 September 2024,2024-09-28,True,0,didnt like the volume as its quite low and also the screen quality is ok okbattery life is also not good,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
49,B0DP7BZ8FD,3.0,Heating,Reviewed in India on 13 October 2024,2024-10-13,True,0,recently purchased this laptop but heating problem in charging time,Negative,Charging - Cause Overheating,Charging,Cause Overheating
50,B0DP7BZ8FD,3.0,Wrong product,Reviewed in India on 12 October 2024,2024-10-12,True,0,ssd size is not as specified. poor response in complaint.,Negative,Storage - Incorrect Specification,Storage,Incorrect Specification
51,B0DP7BZ8FD,3.0,Wrong product,Reviewed in India on 12 October 2024,2024-10-12,True,0,ssd size is not as specified. poor response in complaint.,Negative,Customer Service - Complaint Handling Poor,Customer Service,Complaint Handling Poor
52,B0DP7BZ8FD,3.0,Speaker and display is bad,Reviewed in India on 5 October 2024,2024-10-05,True,0,"display is below average and speakers are dead, very low sound quality",Negative,Display - Below Average Quality,Display,Below Average Quality
53,B0DP7BZ8FD,3.0,Speaker and display is bad,Reviewed in India on 5 October 2024,2024-10-05,True,0,"display is below average and speakers are dead, very low sound quality",Negative,Audio - Low Volume,Audio,Low Volume
54,B0DP7BZ8FD,3.0,It was so slim,Reviewed in India on 11 August 2024,2024-08-11,True,4,"i didnt expect this kind of slim, screen size is also too small, my bad i didnt choose it properly, pls do check the size of the scree before purchasing",Negative,Display - Small Screen,Display,Small Screen
55,B0DP7BZ8FD,5.0,Good for day to day use,Reviewed in India on 2 October 2024,2024-10-02,True,15,"light weight easy to carry, good processor for day to day office work with home 11 and ms office pre installed. screen brightness is decent indoor but speaker is pathetic so not recommended for multimedia use case. if you want a laptop for office work with low budget below 50k go for it. i got it for 39k with bank office in great indian sales and satisfied with it.",Positive,Audio - Poor Sound Quality,Audio,Poor Sound Quality
56,B0DP7BZ8FD,3.0,Battery,Reviewed in India on 16 October 2024,2024-10-16,True,0,battery backup is not good.,Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
57,B0DP7BZ8FD,1.0,Not What I Expected  from New Lenovo laptop,Reviewed in India on 21 May 2025,2025-05-21,True,0,"i bought the lenovo laptop just 10 days ago, but the battery lasts less than 3 hours. microsoft office costs 8k extra, and even the antivirus software is chargeable.",Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
58,B0DP7BZ8FD,1.0,Not What I Expected  from New Lenovo laptop,Reviewed in India on 21 May 2025,2025-05-21,True,0,"i bought the lenovo laptop just 10 days ago, but the battery lasts less than 3 hours. microsoft office costs 8k extra, and even the antivirus software is chargeable.",Negative,Software - Unexpected Cost,Software,Unexpected Cost
59,B0DP7BZ8FD,1.0,Battery problem,Reviewed in India on 17 May 2025,2025-05-17,True,0,"the worst product ive ever brought, even lenovo team not responding, coustomer care is not reachable. battery not getting charged. just bought 15 days before and no return now",Negative,Battery - Charging Issues,Battery,Charging Issues
60,B0DP7BZ8FD,1.0,Battery problem,Reviewed in India on 17 May 2025,2025-05-17,True,0,"the worst product ive ever brought, even lenovo team not responding, coustomer care is not reachable. battery not getting charged. just bought 15 days before and no return now",Negative,Customer Support - Unresponsive,Customer Support,Unresponsive
61,B0DP7BZ8FD,1.0,No full warrenty 11 months only,Reviewed in India on 28 May 2025,2025-05-28,True,0,"i purchased on may 25, 2025 but warrenty is till 28 april 2026 only. got 11 months warrenty only.",Negative,Warranty - Short Duration,Warranty,Short Duration
62,B0DP7BZ8FD,3.0,restarted while copying files on itself,Reviewed in India on 27 August 2024,2024-08-27,True,0,"only happend once, while copying files from mobile, laptop restarted itself.",Negative,Performance - Frequent Auto-Restarts,Performance,Frequent Auto-Restarts
63,B0DP7BZ8FD,2.0,Low battery Backup,Reviewed in India on 11 November 2024,2024-11-11,True,2,"battery backup is not so good. on full chage, it lasting upto 2 to 2.20 hrs only with normal use. on product discription page it was given upto 11 hrs wich is misguiding.",Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
64,B0DP7BZ8FD,2.0,Not a great product.,Reviewed in India on 7 December 2023,2023-12-07,True,7,"not a great product by lenovo.1. speakers are of really poor quality, sound got crackled in 1 month of use though not used regularly. once in a week and video was played on 50 volume.2. amazon cheated on warranty period, still not able to get it rectified.3. amazon failed to provide p-slip, hence lenovo denied to update the warranty.4. battery drains too fast. hardly catch up for 3 hours, usage is for office purpose5. screen is not as per the standard quality. okayish video quality i must say.6. do not worth your hard earned 50k.big do not buy from my side.",Negative,Audio - Poor Sound Quality,Audio,Poor Sound Quality
65,B0DP7BZ8FD,2.0,Not a great product.,Reviewed in India on 7 December 2023,2023-12-07,True,7,"not a great product by lenovo.1. speakers are of really poor quality, sound got crackled in 1 month of use though not used regularly. once in a week and video was played on 50 volume.2. amazon cheated on warranty period, still not able to get it rectified.3. amazon failed to provide p-slip, hence lenovo denied to update the warranty.4. battery drains too fast. hardly catch up for 3 hours, usage is for office purpose5. screen is not as per the standard quality. okayish video quality i must say.6. do not worth your hard earned 50k.big do not buy from my side.",Negative,Warranty - Incorrect Duration,Warranty,Incorrect Duration
66,B0DP7BZ8FD,2.0,Not a great product.,Reviewed in India on 7 December 2023,2023-12-07,True,7,"not a great product by lenovo.1. speakers are of really poor quality, sound got crackled in 1 month of use though not used regularly. once in a week and video was played on 50 volume.2. amazon cheated on warranty period, still not able to get it rectified.3. amazon failed to provide p-slip, hence lenovo denied to update the warranty.4. battery drains too fast. hardly catch up for 3 hours, usage is for office purpose5. screen is not as per the standard quality. okayish video quality i must say.6. do not worth your hard earned 50k.big do not buy from my side.",Negative,Battery - Poor Battery Backup,Battery,Poor Battery Backup
